1,John,Doe,M,123 Main St,1980-01-15,john.doe@example.com,staff
2,Jane,Smith,F,456 Oak Ave,1990-05-20,jane.smith@example.com,student
3,David,Lee,M,789 Elm St,1975-11-10,david.lee@example.com,staff
4,Sarah,Jones,F,10 Elm St,1995-03-08,sarah.jones@example.com,student
5,Michael,Brown,M,567 Pine St,1985-07-25,michael.brown@example.com,staff
6,Emily,Davis,F,321 Maple Ave,1992-11-12,emily.davis@example.com,staff
7,James,Wilson,M,890 Cedar Rd,1978-02-18,james.wilson@example.com,staff
8,Olivia,Taylor,F,234 Oak Ln,1998-09-21,olivia.taylor@example.com,student
9,Daniel,Anderson,M,678 Pine Ln,1982-04-10,daniel.anderson@example.com,staff
10,Chloe,Moore,F,145 Maple Rd,2000-06-15,chloe.moore@example.com,student
11,Alex,Clark,M,156 Elm St,1988-11-28,alex.clark@example.com,staff
12,Emma,Wright,F,258 Oak Ave,1997-03-10,emma.wright@example.com,student
13,Benjamin,Lewis,M,369 Pine St,1972-08-20,benjamin.lewis@example.com,staff
14,Sophia,Hall,F,470 Cedar Rd,2002-05-05,sophia.hall@example.com,student
15,Jacob,Young,M,581 Maple Ave,1984-12-15,jacob.young@example.com,staff
16,Mia,King,F,692 Oak Ln,1993-07-23,mia.king@example.com,student
17,William,Martin,M,703 Elm St,1979-09-08,william.martin@example.com,staff
18,Charlotte,Taylor,F,814 Pine St,2004-01-20,charlotte.taylor@example.com,student
19,Ethan,Campbell,M,925 Cedar Rd,1986-06-03,ethan.campbell@example.com,staff
20,Amelia,Evans,F,1036 Maple Ave,1996-04-11,amelia.evans@example.com,student
21,Oliver,Scott,M,1147 Oak Ln,1981-10-26,oliver.scott@example.com,staff
22,Isabella,Thomas,F,1258 Elm St,1999-02-08,isabella.thomas@example.com,student
23,James,Harris,M,1369 Pine St,1977-07-19,james.harris@example.com,staff
24,Ava,Wilson,F,1480 Cedar Rd,2001-05-04,ava.wilson@example.com,student
25,Noah,Brown,M,1591 Maple Ave,1983-11-13,noah.brown@example.com,staff
26,Sophia,Jones,F,1702 Oak Ln,1994-06-21,sophia.jones@example.com,student
27,Elijah,Garcia,M,1813 Elm St,1980-04-06,elijah.garcia@example.com,staff
28,Emma,Davis,F,1924 Pine St,1998-08-17,emma.davis@example.com,student
29,Logan,Rodriguez,M,2035 Cedar Rd,1985-12-01,logan.rodriguez@example.com,staff
30,Chloe,Martinez,F,2146 Maple Ave,1995-09-15,chloe.martinez@example.com,student
